Person.id|Place.id
17592186044428|1073
10995116277848|314
13194139533402|934
4398046511143|858
8796093022228|531
21990232555604|1420
65|1203
6597069766738|1225
2199023255602|1301
10995116277761|1147
15393162788895|605
17592186044509|976
4398046511173|695
6597069766716|634
17592186044430|1166
21990232555554|972
2199023255600|1249
2199023255637|423
13194139533337|1177
2199023255558|411
13194139533378|456
17592186044499|853
17592186044508|1322
13194139533390|1151
4398046511141|407
10995116277818|1208
17592186044443|1282
17592186044490|469
19791209300039|1321
4398046511107|866
6597069766661|1014
15393162788955|358
19791209299992|388
4398046511181|605
6597069766745|473
8796093022287|1292
4398046511126|699
94|415
10995116277769|510
13194139533328|1284
21990232555553|969
13194139533348|427
10995116277802|966
13194139533357|1264
13194139533365|764
19791209300014|750
10995116277789|452
15393162788961|483
17592186044456|588
13194139533364|678
2199023255611|414
8796093022216|958
8796093022262|454
21990232555555|786
2199023255565|1410
13194139533330|1332
21990232555587|801
19791209300048|791
8796093022227|1452
10995116277803|418
15393162788875|350
8796093022240|737
13194139533312|331
4398046511159|1075
17592186044423|339
15393162788915|1178
2199023255593|463
10995116277807|1356
4398046511185|729
15393162788868|554
2199023255562|632
21990232555569|360
10995116277783|877
17592186044515|363
19791209300024|1086
4398046511168|1061
2199023255628|1342
96|405
2199023255625|442
21990232555618|311
10995116277762|642
6597069766742|725
15393162788908|841
17592186044446|1369
17592186044484|791
4398046511167|600
6597069766684|1363
17592186044454|747
