Person.id|Comment.id|creationDate
10995116277769|618475290702|2011-08-20T21:23:43.398+0000
2199023255628|618475291606|2011-08-07T17:32:13.241+0000
4398046511126|618475291606|2011-08-03T11:25:36.653+0000
4398046511181|618475291606|2011-08-05T17:05:38.323+0000
6597069766684|618475291606|2011-08-02T14:41:38.994+0000
13194139533328|618475291606|2011-08-04T19:53:49.168+0000
15393162788895|618475291606|2011-08-04T16:38:10.841+0000
15393162788908|618475291606|2011-08-07T15:16:06.840+0000
6597069766661|481036338771|2011-05-23T00:36:20.661+0000
13194139533364|481036338773|2011-05-22T15:54:32.554+0000
10995116277762|687194768996|2011-11-14T17:50:58.491+0000
15393162788915|687194769280|2011-11-19T04:56:17.687+0000
6597069766661|687194769280|2011-11-18T20:29:33.063+0000
4398046511126|687194769280|2011-11-19T17:51:13.475+0000
6597069766745|687194769280|2011-11-18T02:29:53.397+0000
6597069766716|687194769280|2011-11-17T22:38:50.190+0000
19791209299992|687194769280|2011-11-18T03:07:06.033+0000
17592186044446|687194769280|2011-11-17T22:33:18.051+0000
2199023255600|687194769280|2011-11-18T08:32:28.178+0000
17592186044499|687194769280|2011-11-19T14:20:05.864+0000
21990232555569|687194769280|2011-11-19T17:34:17.102+0000
15393162788908|687194769280|2011-11-17T23:59:49.104+0000
17592186044509|687194769280|2011-11-18T07:13:14.782+0000
8796093022228|687194769280|2011-11-18T12:30:26.254+0000
2199023255637|687194769280|2011-11-19T15:49:49.619+0000
19791209300048|687194769280|2011-11-19T08:10:00.468+0000
10995116277789|687194769280|2011-11-19T02:29:03.777+0000
8796093022227|687194769280|2011-11-18T06:12:10.738+0000
2199023255628|687194769280|2011-11-19T12:02:35.882+0000
13194139533390|687194769280|2011-11-18T15:19:21.841+0000
4398046511159|687194769280|2011-11-18T13:45:26.314+0000
8796093022287|618475293244|2011-08-29T18:17:04.348+0000
15393162788895|481036339825|2011-05-30T02:00:31.570+0000
2199023255602|481036339834|2011-05-18T03:56:39.520+0000
2199023255611|481036339834|2011-05-20T15:23:24.364+0000
2199023255628|481036339834|2011-05-20T10:57:54.350+0000
4398046511107|481036339834|2011-05-23T09:36:58.053+0000
4398046511126|481036339834|2011-05-18T17:29:13.515+0000
6597069766684|481036339834|2011-05-18T08:19:22.854+0000
6597069766716|481036339834|2011-05-20T19:56:56.401+0000
8796093022216|481036339834|2011-05-22T22:33:21.586+0000
8796093022287|481036339834|2011-05-20T18:58:59.866+0000
10995116277769|481036339834|2011-05-20T03:17:54.165+0000
10995116277802|481036339834|2011-05-21T16:57:43.404+0000
13194139533328|481036339834|2011-05-19T23:14:53.232+0000
13194139533330|481036339834|2011-05-18T11:51:50.703+0000
13194139533364|481036339834|2011-05-18T06:43:07.257+0000
13194139533365|481036339834|2011-05-20T02:16:02.545+0000
15393162788868|481036339834|2011-05-19T06:18:38.101+0000
15393162788895|481036339834|2011-05-29T14:32:10.257+0000
17592186044443|481036339834|2011-06-21T06:14:47.031+0000
17592186044446|481036339834|2011-07-13T19:07:11.858+0000
21990232555554|481036339834|2011-11-01T13:00:20.005+0000
6597069766684|481036339859|2011-05-18T17:04:49.113+0000
8796093022287|481036339873|2011-05-17T04:10:31.147+0000
2199023255628|206158432981|2010-08-24T12:26:48.110+0000
8796093022228|687194770457|2011-11-08T04:28:31.150+0000
15393162788915|618475293730|2011-08-22T14:50:41.036+0000
96|687194770486|2011-11-10T15:30:54.151+0000
2199023255593|687194770486|2011-11-07T16:29:45.923+0000
4398046511181|687194770486|2011-11-08T12:57:48.930+0000
4398046511185|687194770486|2011-11-13T04:25:46.932+0000
8796093022227|687194770486|2011-11-10T03:06:56.367+0000
8796093022228|687194770486|2011-11-08T16:52:06.641+0000
10995116277762|687194770486|2011-11-07T14:43:44.762+0000
10995116277802|687194770486|2011-11-08T21:33:44.611+0000
10995116277807|687194770486|2011-11-11T06:40:21.781+0000
13194139533348|687194770486|2011-11-08T01:31:29.995+0000
13194139533402|687194770486|2011-11-11T03:40:52.924+0000
15393162788868|687194770486|2011-11-08T07:49:29.233+0000
15393162788908|687194770486|2011-11-08T02:30:25.063+0000
15393162788915|687194770486|2011-11-07T20:05:44.849+0000
17592186044423|687194770486|2011-11-07T16:21:55.649+0000
17592186044430|687194770486|2011-11-07T21:30:36.939+0000
17592186044456|687194770486|2011-11-08T21:25:14.250+0000
17592186044509|687194770486|2011-11-11T10:13:23.804+0000
19791209300048|687194770486|2011-11-09T08:39:18.147+0000
21990232555569|687194770486|2011-11-14T03:26:45.078+0000
10995116277761|412316864081|2011-02-01T10:35:57.193+0000
2199023255593|343597387527|2011-01-13T00:25:23.415+0000
2199023255611|343597387527|2011-01-11T22:37:22.095+0000
2199023255628|343597387527|2011-01-10T15:19:35.784+0000
10995116277848|343597387527|2011-01-21T18:05:45.872+0000
13194139533364|343597387527|2011-03-12T08:29:14.395+0000
13194139533378|343597387527|2011-04-04T00:04:57.328+0000
15393162788955|343597387527|2011-05-10T08:18:40.288+0000
19791209299992|343597387527|2011-10-04T23:41:04.018+0000
19791209300014|618475294562|2011-11-09T11:52:18.408+0000
4398046511107|687194771361|2011-10-15T07:31:43.772+0000
2199023255628|687194771472|2011-10-17T09:57:11.902+0000
17592186044509|687194771472|2011-10-19T09:32:44.072+0000
17592186044454|687194771472|2011-10-19T02:12:34.508+0000
13194139533378|687194771472|2011-10-21T15:54:10.145+0000
65|687194771472|2011-10-16T18:35:47.333+0000
19791209300014|687194771472|2011-11-07T16:14:11.290+0000
15393162788955|687194771472|2011-10-20T05:46:12.768+0000
19791209299992|687194771472|2011-10-26T10:20:07.033+0000
94|687194771472|2011-10-17T19:03:59.470+0000
21990232555555|687194771472|2011-11-05T21:41:18.618+0000
4398046511107|687194771472|2011-10-17T15:51:35.023+0000
2199023255562|687194771472|2011-10-21T16:05:12.210+0000
8796093022216|687194771472|2011-11-13T07:02:16.929+0000
17592186044446|687194771472|2011-10-18T00:52:34.871+0000
2199023255565|687194771472|2011-10-18T08:06:40.932+0000
17592186044490|687194771472|2011-10-17T07:06:36.155+0000
2199023255602|687194771472|2011-10-19T20:36:25.406+0000
8796093022287|687194771472|2011-10-19T07:27:35.411+0000
17592186044430|687194771472|2011-10-22T20:22:13.769+0000
96|687194771472|2011-10-21T05:52:36.768+0000
13194139533365|687194771472|2011-10-17T17:02:01.155+0000
15393162788908|687194771472|2011-11-06T19:48:20.274+0000
4398046511167|687194771472|2011-10-18T00:38:11.720+0000
8796093022240|687194771472|2011-10-19T19:48:08.948+0000
15393162788961|687194771472|2011-10-16T18:25:14.429+0000
13194139533357|687194771472|2011-10-18T05:22:41.568+0000
6597069766684|687194771472|2011-10-21T21:27:54.836+0000
10995116277762|687194771472|2011-10-19T09:24:32.944+0000
17592186044443|687194771472|2011-10-19T20:57:36.172+0000
17592186044499|687194771472|2011-10-21T02:38:49.057+0000
17592186044484|687194771472|2011-10-18T04:11:01.913+0000
4398046511143|687194771472|2011-10-17T08:54:07.309+0000
19791209300039|687194771472|2011-10-20T00:54:33.679+0000
2199023255593|412316865031|2011-02-06T19:39:21.364+0000
2199023255593|412316865032|2011-02-04T05:29:27.648+0000
15393162788868|206158435866|2011-04-24T08:51:50.755+0000
19791209299992|274877912631|2011-09-28T04:12:04.431+0000
17592186044456|687194773487|2011-09-26T21:42:05.145+0000
19791209300014|481036343294|2011-10-07T01:55:26.657+0000
8796093022228|481036343358|2011-04-25T01:49:59.496+0000
17592186044509|549755820518|2011-07-14T21:01:23.980+0000
13194139533328|137438960352|2011-03-15T22:59:02.944+0000
13194139533364|137438960356|2011-03-12T12:36:39.064+0000
10995116277769|618475297747|2011-09-08T18:15:02.514+0000
4398046511181|687194774995|2011-10-08T02:32:27.686+0000
6597069766716|687194774995|2011-10-02T13:04:38.254+0000
6597069766738|687194774995|2011-10-02T15:41:26.364+0000
10995116277802|687194774995|2011-10-03T11:40:39.402+0000
13194139533328|687194774995|2011-10-04T19:46:59.191+0000
15393162788868|687194774995|2011-10-02T19:11:42.639+0000
17592186044443|687194774995|2011-10-03T22:04:19.761+0000
6597069766738|412316868066|2011-02-24T05:23:38.185+0000
