Person.id|Organisation.id|classYear
17592186044428|2435|2008
13194139533402|7893|2003
4398046511143|5985|2006
8796093022228|5036|2011
21990232555604|6617|2002
65|4991|2007
6597069766738|5147|2002
2199023255602|6433|2000
10995116277761|2945|2007
15393162788895|2832|2001
17592186044509|1605|2007
4398046511173|4762|2000
6597069766716|2836|2010
17592186044430|4593|2002
2199023255637|2205|2007
13194139533337|4673|2005
2199023255558|2209|2005
13194139533378|2208|1999
17592186044499|6010|2004
17592186044508|6149|2004
13194139533390|2983|2007
10995116277818|4998|2005
17592186044443|5804|2007
17592186044490|2357|2005
19791209300039|6150|2001
4398046511107|5986|2003
6597069766661|1953|2009
15393162788955|2207|2002
4398046511181|2827|2005
8796093022287|5866|2000
4398046511126|4742|2004
94|2214|2000
10995116277769|1785|2004
13194139533328|5809|2007
21990232555553|1596|2002
13194139533348|2207|2005
13194139533357|5236|2008
13194139533365|5268|2008
10995116277789|2214|2004
15393162788961|2206|2001
17592186044456|1856|2007
13194139533364|4742|2002
2199023255611|2206|2001
8796093022216|1580|2001
21990232555555|4929|2009
13194139533330|6172|2001
21990232555587|5526|2003
8796093022227|7953|2006
10995116277803|2213|2005
15393162788875|2211|2002
8796093022240|5047|2001
13194139533312|2210|2005
4398046511159|2439|2000
17592186044423|2208|2006
15393162788915|4940|2007
2199023255593|2209|2004
10995116277807|6346|2003
4398046511185|5042|2002
15393162788868|7936|2007
21990232555569|2207|2002
10995116277783|6797|2009
17592186044515|2206|2000
4398046511168|2387|2002
2199023255628|6199|2011
2199023255625|2206|2002
21990232555618|2214|2007
10995116277762|4519|2008
6597069766742|5046|2002
15393162788908|5987|2006
4398046511167|2830|2005
17592186044454|5040|2004
